,EffectiveLength,Length,Name,NumReads,TPM,Unnamed: 0,count,deviation,mean,std
74548,2212.991,2412,ENST00000424747,0.0,0.0,,1,13391613.951551298,1.8287095349483492e-08,7.467359687418884e-08
42156,1418.991,1618,ENST00000484764,0.0,0.0,,6,11596031.698000597,3.6678816640199997e-08,5.17418382389875e-07
38584,5982.991,6182,ENST00000374712,5e-06,0.0,,26,7102473.161529888,2.175199384388612e-06,3.6606963846942803e-06
38679,2976.991,3176,ENST00000609222,0.0,0.0,,1,3588655.909670242,1.1839760232467747e-07,2.7865582735523025e-07
65727,6729.991,6929,ENST00000339433,0.0,0.0,,24,3588553.3302023793,5.478293498209065e-07,6.6879316659945394e-06
66111,9160.991,9360,ENST00000338432,5.9999999999999995e-05,0.0,,129,2776818.9605021356,3.10910857279927e-05,4.6456024229101e-05
69231,386.005,585,ENST00000558808,1e-06,0.0,,2,2684407.0629587346,2.50166870496645e-07,7.450433942863881e-07
18676,3334.991,3534,ENST00000401815,3e-06,0.0,,5,2347805.3912703334,1.414370502127506e-06,2.1296477996943923e-06
5733,9446.991,9646,ENST00000262450,9e-06,0.0,,15,2095442.2162656363,4.6757079838824785e-06,7.158391297004626e-06
71069,5741.991,5941,ENST00000405093,7.000000000000001e-06,0.0,,10,2029378.8082453671,3.396300641812763e-06,4.927614579924343e-06
58420,3239.991,3439,ENST00000515869,0.0,0.0,,38,2021434.037988623,2.9845264467450735e-06,1.879853425901767e-05
12479,2969.991,3169,ENST00000441839,7.000000000000001e-06,0.0,,19,938854.7600574066,7.031946192151745e-06,2.0237414535654104e-05
32404,4376.991,4576,ENST00000435205,0.0,0.0,,4,898241.8892474095,4.0442712310140405e-07,4.453143015768581e-06
1568,3822.991,4022,ENST00000289431,0.0,0.0,,3,858840.2063166992,3.8455308275465e-07,3.4930824073933273e-06
38698,1030.991,1230,ENST00000586413,0.0,0.0,,1,771797.9793653481,9.18480170785e-08,1.2956757271822426e-06
25073,3526.991,3726,ENST00000409223,1e-06,0.0,,1,763207.5233997809,6.459922347773085e-07,1.310258774118437e-06
60760,5247.991,5447,ENST00000350148,7.5e-05,0.0,,32,639983.8991692517,3.660115170187479e-05,5.000120071830981e-05
83278,2047.991,2247,ENST00000545725,2.3e-05,0.0,,7,506742.9109310681,1.0610368404979893e-05,1.3813689819103948e-05
38704,4071.991,4271,ENST00000538621,0.00011999999999999999,1e-06,,22,304774.54224416317,6.097188973004637e-05,7.2184306688206e-05
28659,745.998,945,ENST00000519404,0.0,0.0,,6,276732.90290650685,2.0522988766550004e-06,2.16815488316841e-05
23384,4210.991,4410,ENST00000520309,0.000246,2e-06,,37,273051.72587017814,9.044910117689793e-05,0.00013550512978075937
5367,2864.991,3064,ENST00000433179,1.6e-05,0.0,,3,248732.16211467137,7.726119225762997e-06,1.2061135352884954e-05
69139,3132.991,3332,ENST00000540068,5.2000000000000004e-05,1e-06,,7,214041.09282689987,2.67947270640792e-05,3.270387528311669e-05
80371,1936.991,2136,ENST00000415638,6e-06,0.0,,1,177052.02362259183,3.028151370489572e-06,5.6480403408449376e-06
31428,4817.991,5017,ENST00000359052,0.0,0.0,,13,166083.95734357467,6.894257093967298e-06,7.827362325459328e-05
36409,1980.991,2180,ENST00000378576,6.2e-05,1e-06,,7,162202.63649791793,3.1537107071073294e-05,4.3155700881488334e-05
69872,7097.991,7297,ENST00000356249,7.8e-05,0.0,,6,126418.8660918081,3.898987784689636e-05,4.746096208270727e-05
49436,1849.991,2049,ENST00000430150,0.003643,6.1e-05,,249,117422.79398497271,0.001985435677842787,0.0021205253776893427
40854,9523.991,9723,ENST00000367603,0.001049,3e-06,,95,114020.83590859856,0.0006614746739034303,0.0008331752505435017
61882,4123.991,4323,ENST00000011898,0.00010400000000000001,1e-06,,7,107145.52428472509,5.203069530078733e-05,6.533122140224226e-05
90677,3099.991,3299,ENST00000328092,0.0,0.0,,2,87046.32813183195,7.819256894506e-06,2.297618088742481e-05
56501,740.998,940,ENST00000375320,1.4999999999999999e-05,1e-06,,1,86336.70396509582,6.2652552356029844e-06,1.1582486808264554e-05
64314,1069.991,1269,ENST00000257895,3.7e-05,1e-06,,2,68854.83274065945,1.2041737890829128e-05,2.9046442764519224e-05
52288,5832.991,6032,ENST00000421747,0.000197,1e-06,,7,66363.16075178169,6.37133763031203e-05,0.00010547924793403947
33118,1417.991,1617,ENST00000553598,0.000225,5e-06,,8,54592.91806544699,8.625455039466025e-05,0.00014653757353397308
56250,5296.991,5496,ENST00000532918,8.3e-05,0.0,,2,45429.54576546867,3.895589804395505e-05,4.4023355514642656e-05
53037,3254.991,3454,ENST00000395673,0.012126000000000001,0.00011499999999999999,,392,44493.94512502318,0.008243234550172106,0.00881000225230636
40208,10589.991000000002,10789,ENST00000358835,0.00201,6e-06,,240,32314.744670535547,0.0034687377872828196,0.007426842876497817
52697,5006.991,5206,ENST00000379214,0.000333,2e-06,,7,32192.255854187595,0.00017698873627414752,0.00021743810197610565
21873,367.005,566,ENST00000446930,0.002444,0.000205,,35,27847.841841158923,0.0012959650292262692,0.0012567833527136355
50358,6745.991,6945,ENST00000371959,5.6000000000000006e-05,0.0,,1,21873.8414459278,2.9108623931995638e-05,4.571537623366243e-05
64165,1316.991,1516,ENST00000303450,6.3e-05,1e-06,,1,20888.508497520026,3.1435508806889294e-05,4.787170728871875e-05
85573,1519.991,1719,ENST00000541807,0.0,0.0,,1,18510.247258031675,9.4228985711255e-06,5.402362070920089e-05
35340,5381.991,5581,ENST00000361368,0.0,0.0,,24,17942.800908524674,0.0001674026622792796,0.0013375744801323263
91012,2213.991,2413,ENST00000535550,0.012388,0.000172,,106,17405.044900304016,0.006885558483094093,0.0060897926462496815
49929,6000.991,6200,ENST00000297977,0.0,0.0,,62,12976.021289494143,0.0008755275547358463,0.00477797647593581
31237,4452.991,4652,ENST00000405413,0.000132,1e-06,,1,12071.14455591105,6.360065406664157e-05,8.283691697290462e-05
59465,4632.991,4852,ENST00000371097,0.0,0.0,,51,11510.652421697307,0.0004708207053486376,0.00443063757907951
87087,4034.991,4234,ENST00000586018,0.0,0.0,,7,10827.763799702467,0.00030374711774969995,0.0006464581590775552
14837,1179.991,1379,ENST00000445170,0.000146,4e-06,,1,8097.654713146601,8.107297914710682e-05,0.00012348253444265502
35620,1972.991,2172,ENST00000241069,0.016763999999999998,0.000261,,54,7464.163592036793,0.009197788999697082,0.007233335864798148
52771,2391.991,2591,ENST00000379107,0.0,0.0,,5,6623.379360973488,0.00043733161809480803,0.0007548356202938498
37215,5598.991,5798,ENST00000274643,0.0038619999999999995,2.1e-05,,11,5976.889334422719,0.0021738796783234656,0.001840058516222119
12387,2043.991,2243,ENST00000361052,0.0,0.0,,1,5124.652141524721,8.70146445021629e-05,0.00019511821636697415
71990,6467.991,6667,ENST00000339298,0.0,0.0,,29,4896.800365731251,0.0004239732880548112,0.0059221479049169625
54825,3767.991,3967,ENST00000423745,0.004164,3.4e-05,,8,4146.054878419136,0.0018618859143788957,0.0019290960560404498
22674,2679.991,2879,ENST00000409283,0.000421,5e-06,,1,3067.566325863795,0.00022321539674569494,0.00032591855510140513
51613,4280.991,4480,ENST00000397374,0.028832,0.000207,,36,3014.5716712688536,0.01682046043803314,0.011936415339701113
70261,11079.991000000002,11279,ENST00000394232,0.008874,2.5e-05,,10,2345.1522924857086,0.00499503451129941,0.004261985457198025
79691,3452.991,3652,ENST00000537152,0.180574,0.001609,,235,2270.154524009074,0.1263157126403236,0.1034615405265782
62536,1551.991,1751,ENST00000540510,0.0,0.0,,11,2163.907198903703,0.00036034067543699996,0.005083230771124239
39152,1372.991,1572,ENST00000372485,0.0,0.0,,2,1607.6921995092478,0.00019186270471562505,0.0012438998820207816
78819,10523.991000000002,10723,ENST00000392650,0.001525,4e-06,,2,1473.626276030822,0.0010720506431030844,0.0013564687206453476
91955,6778.991,6978,ENST00000434452,0.0,0.0,,8,1190.6539782563636,0.0023798170166133502,0.006716997825594459
30695,1342.991,1542,ENST00000420433,0.001204,2.8000000000000003e-05,,1,1171.3639251875127,0.0005546105615869943,0.0008532321748583995
49471,5811.991,6011,ENST00000396435,0.006515000000000001,3.4e-05,,4,1148.0417808327697,0.003950652714319891,0.0034807525422872803
84315,13079.991000000002,13279,ENST00000565624,0.000309,1e-06,,74,1118.3912686590513,0.041119679662727254,0.06612970110989315
92043,6322.991,6522,ENST00000283365,0.037929000000000004,0.000185,,19,1071.1340990670046,0.01160364153097395,0.017727375475216953
60688,10784.991000000002,10984,ENST00000544455,1.441079,0.004111999999999999,,552,940.6821456679634,1.0117357280789254,0.5857326694349801
39192,2334.991,2534,ENST00000372163,0.0,0.0,,1,721.1194935695651,0.00010017386202838957,0.0013865938101165936
88933,1651.991,1851,ENST00000587539,0.16963599999999998,0.00316,,36,481.7937177086105,0.10621757489180332,0.07450031228264543
29771,2362.991,2562,ENST00000340083,0.022861000000000003,0.000298,,5,460.7111505621235,0.014219897269735207,0.010821921927973759
58444,439.00199999999995,638,ENST00000374098,0.0,0.0,,8,433.90893110080526,0.0017425446445542784,0.01843303256069025
14579,2344.991,2544,ENST00000344697,0.0,0.0,,1,420.3382909016529,0.0011291699871174901,0.002376349839245527
82079,1603.991,1803,ENST00000395224,0.327361,0.006281,,40,361.1462382489148,0.20975902878649952,0.11017764206583996
38143,5114.991,5314,ENST00000462446,0.005327,3.2e-05,,1,313.9445141047511,0.003054835575184643,0.003175545740201001
68481,7018.991,7218,ENST00000560955,1.7e-05,0.0,,45,312.4447263242757,0.022315716235483025,0.143954051690678
38910,6020.991,6220,ENST00000398904,0.0,0.0,,25,253.63112906372598,0.03294642957589383,0.09843844350884477
23648,1295.991,1495,ENST00000295079,0.0,0.0,,25,214.21880985229618,0.008477028615603267,0.11666353196815932
23231,82204.991,82404,ENST00000359218,0.0,0.0,,14,212.2356083764988,0.027170818310341942,0.06583640364863907
48970,4522.991,4722,ENST00000297875,0.059703,0.00040599999999999995,,6,210.4754684998495,0.04113267813678365,0.028311457693073038
33377,1717.991,1917,ENST00000331789,639856.884579,11461.859022,,804197,194.82514867664304,639769.3866981646,843.9752999995943
39633,2103.991,2303,ENST00000309268,1109005.4298440001,16221.196261000001,,1316896,187.19075470497776,1109140.4920500002,1109.8598767734716
90612,339.005,538,ENST00000351841,0.0,0.0,,3,186.39596986115936,0.0011404941543199998,0.016088649921344535
80214,1916.991,2116,ENST00000382862,0.026713999999999998,0.000429,,4,183.95778075809213,0.01764653919916926,0.021648192560214122
52833,11478.991000000002,11678,ENST00000321505,2.3222810000000003,0.006226,,123,182.58616073307158,1.6489302141276196,0.6646235908496883
43704,6364.991,6564,ENST00000319119,0.001527,7.000000000000001e-06,,23,176.51643175405644,0.044962045032151836,0.1300447653901792
75156,5837.991,6037,ENST00000583535,1.1221,0.005915,,54,172.13060269126564,0.7908772760772148,0.30912064381345916
33369,2451.991,2651,ENST00000610122,0.761323,0.009555,,37,161.4788964055602,0.529113851699665,0.22585543349703335
9666,3304.991,3504,ENST00000369429,0.05996900000000001,0.000558,,6,158.64622790811353,0.032886382475276095,0.037612704040973624
12459,3863.991,4063,ENST00000367058,0.001592,1.3000000000000001e-05,,162,155.69962784387835,0.2073808501576457,1.0391329856746576
93098,1342.991,1542,ENST00000361624,1019263.0,23356.420222,,1149163,138.08565338927474,1019201.92,941.1627986698159
5287,2461.991,2661,ENST00000425496,0.003204,4e-05,,74,131.64544709103896,0.13435340038279298,0.561095337756236
82800,2729.991,2929,ENST00000219235,188231.0,2121.8906660000002,,245467,130.83319318232557,188292.2,437.0053088922376
44194,857.9910000000001,1057,ENST00000426651,114323.50838900001,4100.586674,,154462,126.16666015375218,114316.27414996996,318.1959941010304
46279,2023.991,2223,ENST00000518698,0.566498,0.008614,,21,123.0517613207456,0.41496001861169013,0.16728765001365184
88694,2159.991,2359,ENST00000598742,145304.79736099998,2070.2418989999996,,193265,120.13796040537531,145341.35258758004,398.90511917060746
79680,1801.991,2001,ENST00000575087,205094.452452,3502.6310359999998,,260436,117.69538769247418,205098.43781337998,470.1761324004584
52143,4716.991,4916,ENST00000314138,293476.44609,1914.7022579999998,,347898,114.2957218898931,293531.3829957151,475.66624634174025
42025,3388.991,3588,ENST00000297620,0.0,0.0,,6,114.01429009622268,0.026553937726319563,0.052392082231379714
52062,1196.991,1396,ENST00000529903,0.0,0.0,,2,113.29374574468082,0.001250621434285,0.01764218638396954
79159,794.998,994,ENST00000397640,6.1157699999999995,0.236744,,170,112.47130808080364,4.77421119258095,1.4690483433224997
24196,2912.991,3112,ENST00000491306,528326.840566,5581.572840999999,,605850,108.87761972854425,528323.6716866402,712.05017621298
86832,1191.991,1391,ENST00000600147,123868.204947,3198.011379,,162546,107.0289711754284,123845.52700543508,361.58876021644625
37977,1134.991,1334,ENST00000376802,92792.776473,2516.0246690000004,,124155,101.31291198242205,92748.53823297247,309.9946606260474
59052,2614.991,2814,ENST00000440692,159359.698504,1875.4322140000002,,200434,99.67755678614482,159309.60909672006,412.57422662867907
29427,3820.991,4020,ENST00000359141,9.991769999999999,0.080475,,243,98.46573501117749,7.7105927195193,2.3895561969224266
66587,712.998,912,ENST00000313104,107775.935966,4651.857645,,137778,95.83224507593923,107744.91625003502,313.3922587972995
31506,3872.991,4072,ENST00000305046,0.060777,0.00048300000000000003,,3,94.86708372051086,0.042492020327142985,0.031175280863339382
74458,3461.991,3661,ENST00000572293,2e-06,0.0,,135,93.19488485879279,0.1957898848111677,1.4464764919173594
38190,1354.991,1554,ENST00000383329,61501.075771,1396.816718,,83687,90.32168537173291,61526.88551640699,245.346556504007
60628,348.005,547,ENST00000450494,0.0,0.0,,1,90.30635352719136,0.0010732380662806,0.011061533578951798
5864,1583.991,1783,ENST00000234590,115606.861397,2246.073727,,148246,89.12210147763608,115595.58021521503,366.3560356347536
84423,2011.991,2211,ENST00000311528,193485.357812,2959.478291,,245019,88.74649585828865,193455.90060496493,581.015609645834
48452,1862.991,2062,ENST00000381401,35747.0,590.5027660000001,,51143,85.04886526134649,35722.215,181.31676363480574
93099,485.001,684,ENST00000361739,340293.0,21592.537831,,390303,84.48540389300548,340239.73,592.5670908006956
51213,423.00300000000004,622,ENST00000449494,58749.171282,4274.160304999999,,78370,82.26805530951879,58734.694949618,238.67471981083895
82069,1904.991,2104,ENST00000564546,46571.636557,752.3530099999999,,64942,81.48915752267294,46571.317336363,225.4371406223666
13865,1549.991,1749,ENST00000396957,189060.95325999998,3753.753721,,219910,81.1110206336757,189086.14312967993,380.020577099268
59324,4620.991,4820,ENST00000446394,0.019234,0.000128,,1,80.91973022652557,0.00788840409855665,0.012260441219022108
91912,2146.991,2346,ENST00000400466,0.0,0.0,,15,77.96693494636853,0.014724157978785657,0.19220039690324117
93102,584.998,784,ENST00000362079,350795.0,18454.050278,,396553,75.95217803203461,350741.415,603.1635456283809
62003,1056.991,1256,ENST00000396859,174070.947184,5068.134779,,221959,75.61592066178282,174067.273239375,633.3550704862348
89753,461.001,660,ENST00000467825,64261.852062,4289.8753369999995,,83986,75.21739685145083,64316.77987919652,261.49828289921857
28468,1249.991,1449,ENST00000353334,95750.79161,2357.374701,,126742,74.73439605770096,95730.29873600647,414.95887971115735
89638,678.998,878,ENST00000331825,60855.0,2758.167666,,78443,71.78741399897945,60853.125,245.02728291967816
80403,678.998,878,ENST00000526586,67420.614833,3055.744965,,86972,71.63496872567372,67406.4189817415,273.12891128891164
90547,1417.991,1617,ENST00000402367,87737.969899,1904.1766030000001,,113242,71.09130967289656,87716.59325970904,359.0510128134899
38194,1347.991,1547,ENST00000412585,58862.151279,1343.823591,,76524,69.9020730320738,58855.137043267496,252.76593654991234
75072,802.9910000000001,1002,ENST00000578812,118211.507581,4530.459731,,142816,69.43074150742753,118225.38639035494,354.17472254728006
55411,511.0,710,ENST00000526608,66370.991228,3997.1487479999996,,84418,68.98755249468442,66366.96804216753,261.6563612576823
28476,1399.991,1599,ENST00000401695,138501.7606,3044.5504100000003,,164892,68.22668993908236,138462.8747733801,387.37223292259506
38193,663.998,863,ENST00000434333,20889.848721000002,968.191824,,33942,68.12247636459713,20887.13795673249,191.63810154811176
33384,2522.991,2722,ENST00000340250,24190.833749,295.072141,,34514,67.43317002929994,24191.55146637802,153.07672068711645
79735,2779.991,2979,ENST00000576730,66.889073,0.740466,,821,67.23693480311326,56.29166738772997,11.373337211928673
3699,739.998,939,ENST00000215754,19484.25601,810.300691,,29000,67.09267479710525,19482.682950186005,141.85329588655222
41616,1854.991,2054,ENST00000381506,0.0,0.0,,21,66.39360962340427,0.024516464763675003,0.31592624130865604
82056,735.998,935,ENST00000568435,25018.083205000003,1046.0930720000001,,35070,66.04688806999384,25028.95787590201,152.02899663428343
74519,340.005,539,ENST00000572383,11750.220216,1063.538627,,19966,65.93924173362248,11749.380302013495,124.60895033005579
80408,520.0,719,ENST00000527302,31834.964100999998,1884.05653,,44945,65.36626657247697,31864.467954727003,200.11135301370672
38574,740.998,940,ENST00000535465,27958.879635,1161.169598,,38497,65.26250219708318,27965.871054858995,161.3656937844421
6997,2023.991,2223,ENST00000294507,63211.0,961.119018,,77876,65.0272785456727,63219.355,225.3922558008594
9985,15490.991000000002,15690,ENST00000369202,180.46811599999998,0.358521,,1141,62.37041356384327,177.54615835330992,15.447289613696157
93105,1178.991,1378,ENST00000361381,416733.0,10877.786761,,455346,60.5909783700968,416700.845,637.8037793671343
9852,10497.991000000002,10697,ENST00000342960,1088.503485,3.190925,,3372,59.98550590926284,1091.7158288566397,38.01391913894392
37278,1428.991,1628,ENST00000380272,0.0,0.0,,80,59.77328103389282,0.10249759585841378,1.3366758695885854
53914,351.005,550,ENST00000530019,20142.914538,1766.0447179999999,,27716,59.4988500740244,20158.395738402505,127.021013888417
93096,756.998,956,ENST00000361390,112794.0,4585.474032,,131391,59.03494952347707,112842.95,314.187615128286
93108,941.9910000000001,1141,ENST00000361789,155392.0,5076.624863,,177731,58.17878243670793,155353.195,384.63859267499396
38506,1029.991,1229,ENST00000360004,40264.063175,1203.0324039999998,,52343,57.886719271626916,40255.76670587898,208.80840106697076
89558,836.9910000000001,1036,ENST00000549273,29553.893774,1086.643556,,39676,57.72166112264518,29570.906631284997,175.06587946670516
41787,663.998,863,ENST00000315377,118947.24307000001,5512.904847,,137985,57.59286471056555,118958.79776295,330.3569345381009
84422,329.00699999999995,528,ENST00000467736,8865.870216,829.2965059999999,,15754,57.5787813341737,8861.592625066296,119.70394675308935
7808,681.998,881,ENST00000396651,72807.599026,3285.386742,,88553,57.03240124843191,72775.45659828148,276.64175199272916
21604,625.998,825,ENST00000409733,41354.154947,2033.0079850000002,,53976,56.11405232855275,41366.82846419398,224.7061299721895
75342,1025.991,1225,ENST00000302182,28570.515144,856.9740609999999,,40705,54.99642585447834,28580.023397780507,220.46844706422246
21173,293.007,492,ENST00000233143,39646.0,4164.032199,,50827,54.86630638212918,39651.37,203.68839706767787
48182,765.998,965,ENST00000394920,45663.527204000005,1834.5721429999999,,61994,54.39497098119225,45617.39236771648,301.06841380512805
84811,4523.991,4723,ENST00000262965,20569.819471000003,139.927088,,28639,54.284466480838475,20569.9382458245,148.644027974812
38686,1720.991,1920,ENST00000311487,20256.556075,362.226409,,27432,53.77874862229525,20243.874914106495,133.66107003303344
28471,781.998,981,ENST00000009530,63363.56564,2493.600878,,84202,53.68045849110024,63397.57662238796,387.56046357281457
89757,231.01,430,ENST00000599561,34253.719264,4563.21369,,44147,53.64873807083215,34239.125225465024,184.68048142071225
64427,270.007,469,ENST00000501597,62166.110599,7085.513582,,77653,53.54355793591186,62166.89987511997,289.22433849868327
43733,434.00199999999995,633,ENST00000361436,54463.550109,3861.9529030000003,,66367,53.53613383280587,54480.210554763,222.03301946232466
81360,602.998,802,ENST00000565420,34497.994505,1760.640441,,44945,52.64845294024472,34490.07743487248,198.57986286878582
89553,342.005,541,ENST00000546623,23514.927013999997,2115.9423079999997,,31623,52.58404672846922,23518.251155017995,154.12942421173645
74790,1239.991,1439,ENST00000576930,25227.056545,626.096362,,32942,51.59653532840411,25242.139588708502,149.23212115470653
6901,12.989,171,ENST00000601459,0.0,0.0,,10,51.36010477391597,0.022743578684800002,0.19426082686619256
76770,1674.991,1874,ENST00000579344,27645.843778,507.93773,,35333,51.09115306496023,27639.208294909495,150.5895099941897
62109,1563.991,1763,ENST00000229270,36539.189013,718.9815769999999,,52574,50.81822841208013,36539.7689998965,315.5212509590744
91244,1320.991,1520,ENST00000596046,46525.681116,1083.891988,,58598,50.69673436281794,46480.57453405101,239.01787005113619
28469,1527.991,1727,ENST00000518797,66883.19569400001,1347.067411,,86067,50.23960994291697,66870.490315433,382.0990988261728
84957,1408.991,1608,ENST00000327141,11947.890725,260.96132,,17571,49.77268982931128,11957.066044631498,112.79145199145817
76585,851.9910000000001,1051,ENST00000579260,31375.873824000002,1133.3237980000001,,42436,49.588416974130865,31369.125589200496,223.17458564109515
59486,1630.991,1830,ENST00000334828,49534.139082,934.6438630000001,,60711,48.98871236345056,49532.20976664799,228.19114228632532
58625,5005.991,5205,ENST00000373758,282.766344,1.7383240000000002,,875,48.95425534861536,276.4179336641552,12.227375578960272
69050,366.005,565,ENST00000569438,42061.524939999996,3536.638725,,51911,48.88553676427345,42061.79781399252,201.47476816098867
38027,2401.991,2601,ENST00000376630,31718.36903,406.380207,,40358,48.43723821283559,31700.745818534513,178.73137488609672
82105,1148.991,1348,ENST00000565497,20377.418173,545.790124,,27557,48.3354784573893,20373.511718709502,148.6172995602637
86901,1839.991,2039,ENST00000545187,0.0,0.0,,4,48.28457697970311,0.00952565466548,0.08264490640586858
84751,237.00900000000001,436,ENST00000586656,14642.397013,1901.251246,,20213,48.01175894614071,14636.255908674493,116.15371345968522
62000,1675.991,1875,ENST00000229239,52102.144605,956.7027439999999,,70319,48.00355133901431,52070.93720592851,380.1398497623362
11023,1404.991,1604,ENST00000368097,23268.0,509.657749,,30385,47.53254140222256,23270.34,149.67977284857164
4947,5229.991,5429,ENST00000338758,29740.0,174.99799199999998,,38136,47.374478304745615,29746.725,177.08427195829674
84889,946.9910000000001,1146,ENST00000602676,23143.008387,752.085351,,29859,47.18099961739221,23119.473205843497,142.84408657743083
29454,688.998,888,ENST00000509148,65283.251203,2915.9274100000002,,77592,47.029693351004866,65249.923655825995,262.4315717319109
19070,564.999,764,ENST00000403564,50991.809927999995,2777.446355,,60460,46.803873391009994,50997.76401965949,202.16779712420131
15016,946.9910000000001,1146,ENST00000419783,13397.117616,435.370188,,18902,46.63470886530355,13403.859205131996,117.89804050773539
10660,1278.991,1478,ENST00000356657,21712.318624,522.4344940000001,,27802,46.62680957749501,21731.454675612003,130.19431051353808
34303,618.998,818,ENST00000355968,77383.653326,3847.2717299999995,,89555,46.5517422940195,77386.73475543401,261.392262564773
5865,532.999,732,ENST00000489867,6438.559614,371.753445,,10095,46.503589618979355,6445.3226438639485,78.48162660214344
80407,793.998,993,ENST00000529806,17629.979207,683.321949,,25447,46.38090797209087,17655.147116473,167.9969889381133
21392,1488.991,1688,ENST00000288943,9009.0,186.199121,,12893,46.290100397053784,8994.88,84.21066203278538
