,transcript_id,EffectiveLength,NumReads,Length,TPM,eq_param,mean,faulty,count,predict_diff,diff,new_std,new_mean,new_deviation
537,ENST00000578706,301.007,7735.619585,500,790.881134,5.625,14.61087172,1,9717,8781.5742153,9702.38912828,4,8796,230
698,ENST00000462776,280.007,2062.124988,479,226.641158,2.5,2.840248338,1,2844,2381.8844132,2841.15975166,2,2384,230
403,ENST00000524349,552.999,66321.77414,752,3690.834609,4.7,23.223579,1,78193,76571.7602664,78169.776421,7,76594,228
561,ENST00000598742,2159.991,145304.7974,2359,2070.241899,3.46666666667,7774.63512,1,193265,163605.435811,185490.36488,96,171380,227
682,ENST00000332220,576.998,5918.351278,776,315.65968,2.0,16.82757831,1,8488,6888.724964,8471.17242169,7,6905,226
628,ENST00000594527,158.013,7250.253868,357,1412.060699,8.875,27.01539896,1,9205,7828.10975284,9177.98460104,6,7855,225
726,ENST00000530797,438.002,8045.106189,637,565.260251,2.0,98.73935782,1,12104,9178.35110306,12005.2606422,13,9277,217
587,ENST00000590212,255.008,4330.0,454,522.548633,4.4,6.808239825,1,5560,4901.72379946,5553.19176018,3,4908,217
635,ENST00000420104,283.007,3682.0,482,400.386378,2.0,4.253432478,1,4844,4193.08814236,4839.74656752,3,4197,215
530,ENST00000413659,8053.991,10921.69886,8253,41.732278,2.66666666667,1.023011803,1,14246,12967.0618726,14244.9769882,6,12968,213
586,ENST00000540193,2221.991,3141.0,2421,43.502951,1.5,2.551471317,1,4178,3756.14619231,4175.44852868,2,3758,210
895,ENST00000572383,340.005,11750.22022,539,1063.538627,2.0,324.5804372,1,19966,13042.4579127,19641.4195628,32,13367,206
500,ENST00000575087,1801.991,205094.4525,2001,3502.631036,4.8,556.7575121,1,260436,241057.241493,259879.242488,91,241613,206
701,ENST00000597430,373.005,2828.648117,572,233.37675,2.0,12.91330332,1,3895,3274.06162332,3882.08669668,3,3286,203
735,ENST00000435061,570.999,1256.925332,770,67.743412,1.5,2.002240476,1,1719,1515.73183167,1716.99775952,1,1517,202
555,ENST00000307076,1847.991,5280.230998,2047,87.931841,3.91666666667,3.727069503,1,6897,6289.8750421,6893.2729305,3,6293,201
889,ENST00000571990,455.001,581.0,654,39.296726,3.1,1.027424593,1,945,743.782122675,943.972575407,1,744,201
582,ENST00000585199,203.011,11235.77978,402,1703.243566,3.25,24.14328357,1,13966,12343.966048,13941.8567164,8,12368,199
554,ENST00000506267,430.002,4745.0,629,339.592763,2.66666666667,4.314584978,1,5890,5497.98428608,5885.68541502,2,5502,194
584,ENST00000377269,2297.991,8894.0,2497,119.10826,2.0,23.94684689,1,11711,10527.021105,11687.0531531,6,10550,193
608,ENST00000422163,2207.991,13309.0,2407,185.498844,3.83333333333,65.41260064,1,18067,15704.341123,18001.5873994,12,15769,191
662,ENST00000601521,1003.991,8080.55553,1203,247.687768,3.42857142857,45.98573752,1,11242,9478.31119796,11196.0142625,9,9524,190
602,ENST00000524704,385.005,2507.0,584,200.392414,4.75,3.16859613,1,3317,2942.12409868,3313.83140387,2,2945,186
648,ENST00000564546,1904.991,46571.63656,2104,752.35301,7.52272727273,923.1263268,1,64942,54042.0239866,64018.8736732,54,54965,184
565,ENST00000370562,802.991,12947.21366,1002,496.202369,2.4,70.35521314,1,16784,15075.7779966,16713.6447869,9,15146,182
544,ENST00000518797,1527.991,66883.19569,1727,1347.067411,3.0,635.5890325,1,86067,78068.069726,85431.4109675,41,78703,179
710,ENST00000229270,1563.991,36539.18901,1763,718.981577,4.33333333333,906.9703612,1,52574,42136.4351474,51667.0296388,54,43043,176
546,ENST00000448293,3177.991,4763.99605,3377,46.13301,4.0,0.334941461,1,6213,5695.94257241,6212.66505854,3,5696,172
611,ENST00000581770,248.009,1158.385931,447,143.740479,6.75,1.041875878,1,1564,1392.64607907,1562.95812412,1,1393,171
1509,ENST00000342960,10497.991,1088.503485,10697,3.190925,12.4331550802,140.1391564,1,3372,1216.40314601,3231.8608436,12,1356,168
633,ENST00000545581,357.005,2312.0,556,199.299508,3.0,2.416710412,1,3036,2699.37914037,3033.58328959,2,2701,167
557,ENST00000375043,1256.991,5505.799386,1456,134.797347,2.0,3.171422079,1,7011,6520.00443944,7007.82857792,3,6523,162
423,ENST00000509148,688.998,65283.2512,888,2915.92741,4.83333333333,106.1809768,1,77592,75738.8348294,77485.8190232,11,75845,158
666,ENST00000479017,471.001,12785.92367,670,835.41751,4.33333333333,27.40725943,1,17139,14731.766875,17111.5927406,15,14759,158
649,ENST00000565497,1148.991,20377.41817,1348,545.790124,4.63157894737,64.99714809,1,27557,23893.480456,27492.0028519,23,23958,156
668,ENST00000398603,501.0,12635.4356,700,776.149415,1.5,68.59473362,1,16919,14527.7061648,16850.4052664,15,14596,154
660,ENST00000433458,385.005,7744.534831,584,619.045085,2.0,31.08093396,1,10112,8856.1821806,10080.919066,8,8887,153
948,ENST00000392369,1330.991,7837.865762,1530,181.224048,4.5,212.6248511,1,12605,9068.5138208,12392.3751489,22,9281,151
778,ENST00000475494,362.005,1704.0,561,144.859746,4.875,3.138980789,1,2327,2023.73234718,2323.86101921,2,2026,150
438,ENST00000424390,595.998,16241.25998,795,838.62462,3.33333333333,6.822740724,1,19305,18848.551219,19298.1772593,3,18855,150
1015,ENST00000556210,3844.991,522.825104,4044,4.184602,7.27272727273,0.233042152,1,849,700.534756647,848.766957848,1,700,149
539,ENST00000563579,85.045,2355.901613,284,852.510505,2.66666666667,1.10137387,1,2491,2343.77467843,2489.89862613,1,2344,147
780,ENST00000456318,1602.991,5016.016941,1802,96.298831,4.44444444444,20.40959571,1,7271,5959.59987353,7250.59040429,9,5980,143
1016,ENST00000532677,2878.991,1176.450537,3078,12.575534,6.28571428571,0.961733761,1,1892,1471.88198243,1891.03826624,3,1472,140
987,ENST00000489867,532.999,6438.559614,732,371.753445,1.5,368.73827,1,10095,7113.47319128,9726.26173,19,7482,137
596,ENST00000471292,447.002,1323.196887,646,91.097775,3.5,1.069282883,1,1734,1596.29146894,1732.93071712,1,1597,137
560,ENST00000311528,2011.991,193485.3578,2211,2959.478291,3.9375,3116.907426,1,245019,225010.057735,241902.092574,125,228126,135
843,ENST00000529806,793.998,17629.97921,993,683.321949,4.0,564.0862877,1,25447,20037.0655358,24882.9137123,36,20601,134
656,ENST00000528780,530.999,6737.733623,730,390.492599,3.71428571429,19.77649345,1,8754,7825.43435763,8734.22350655,7,7845,129
605,ENST00000589913,498.0,24471.84308,697,1512.272475,3.0,193.6631871,1,30769,28017.8156542,30575.3368129,20,28211,127
1312,ENST00000382452,2942.991,11322.65222,3142,118.400162,3.16666666667,135.5616141,1,22079,13304.3097642,21943.4383859,70,13439,123
711,ENST00000596253,376.005,1743.443936,575,142.694647,2.0,2.506785654,1,2301,2051.66201147,2298.49321435,2,2054,123
766,ENST00000592991,1440.991,700.972629,1640,14.970383,4.75,1.361785757,1,1028,905.305961649,1026.63821424,1,906,122
777,ENST00000409729,279.007,1770.265526,478,195.261218,2.25,4.347002948,1,2412,2051.36268873,2407.65299705,3,2055,119
543,ENST00000373021,3734.991,2037.033681,3934,16.784241,2.75,1.057126624,1,2577,2459.39592497,2575.94287338,1,2460,117
752,ENST00000549392,212.01,8431.041181,411,1223.82056,7.66666666667,36.02740219,1,10778,9330.89103478,10741.9725978,12,9366,117
736,ENST00000518345,359.005,1360.972703,558,116.665276,3.16666666667,2.95585361,1,1740,1621.56670696,1737.04414639,1,1624,116
746,ENST00000405484,642.998,8635.485053,842,413.304371,2.625,72.38771489,1,11596,10004.5414256,11523.6122851,13,10076,116
688,ENST00000533498,333.007,11730.33129,532,1084.053148,3.11111111111,131.54683,1,14939,13208.8571353,14807.45317,14,13340,114
691,ENST00000374846,844.991,3985.143781,1044,145.139325,2.0,14.89966673,1,5282,4697.86899187,5267.10033327,5,4712,114
960,ENST00000546227,1019.991,1136.418883,1219,34.287456,4.0,7.527153681,1,1752,1402.40524308,1744.47284632,3,1409,114
525,ENST00000553007,614.998,14789.23468,814,740.056294,4.18181818182,14.39877778,1,18001,17183.0376114,17986.6012222,7,17197,114
779,ENST00000583868,615.998,4343.443895,815,216.994006,4.90909090909,12.71728546,1,5919,5103.79938589,5906.28271454,7,5116,114
651,ENST00000406403,3938.991,3284.61812,4138,25.662145,3.0,4.868495067,1,4276,3932.78209132,4271.13150493,3,3937,113
878,ENST00000471859,665.998,1530.0,865,70.698694,3.6,6.557632236,1,2191,1848.25486904,2184.44236776,3,1854,112
873,ENST00000597802,212.01,3512.966533,411,509.929981,1.5,14.51642256,1,4691,3910.23324618,4676.48357744,7,3924,109
1021,ENST00000503064,549.999,5053.783825,749,282.779251,6.86666666667,40.61409134,1,7670,5893.33797975,7629.38590866,16,5933,108
741,ENST00000307839,2530.991,43714.13805,2730,531.52585,4.46153846154,1397.392578,1,58689,50278.7324577,57291.607422,65,51676,107
931,ENST00000579380,317.007,830.0,516,80.575435,2.0,1.798406848,1,1113,1006.21185196,1111.20159315,1,1008,105
719,ENST00000535723,576.998,1549.0,776,82.617071,1.5,2.449545679,1,2063,1853.01849506,2060.55045432,2,1855,104
567,ENST00000472628,440.002,21243.91685,639,1485.84225,5.66666666667,55.40880864,1,25870,24357.6234313,25814.5911914,14,24413,104
667,ENST00000401701,589.998,3423.690519,789,178.581575,2.0,3.93397604,1,4338,4022.82101683,4334.06602396,3,4026,104
901,ENST00000340250,2522.991,24190.83375,2722,295.072141,3.16666666667,199.0875841,1,34514,28425.3262941,34314.9124159,57,28624,103
680,ENST00000435848,493.001,1148.074866,692,71.66642,2.25,1.509686093,1,1492,1390.47487909,1490.49031391,1,1391,101
2570,ENST00000369202,15490.991,180.468116,15690,0.358521,11.64,59.86394076,1,1141,174.397082168,1081.13605924,9,234,100
839,ENST00000488478,477.001,1798.650727,676,116.043506,4.22222222222,4.045996044,1,2446,2147.68583927,2441.95400396,3,2151,98
992,ENST00000370177,428.002,2280.709398,627,163.989741,1.5,20.23596551,1,3263,2654.88160066,3242.76403449,6,2675,98
1165,ENST00000250974,1430.991,1116.0,1630,24.000507,2.0,4.912981537,1,1767,1369.44168335,1762.08701846,4,1374,98
949,ENST00000291672,2103.991,1408.0,2303,20.594529,1.5,8.36363333,1,2006,1706.0953816,1997.63636667,3,1714,97
750,ENST00000449803,3796.991,4800.925934,3996,38.911546,14.3488372093,0.649172712,1,6492,5814.04722968,6491.35082729,7,5814,96
505,ENST00000330914,2432.991,65149.34479,2632,824.067193,3.0,129.2517283,1,79760,76838.6231785,79630.7482717,29,76967,96
881,ENST00000431547,356.005,2310.354468,555,199.717082,3.6,14.38813358,1,3085,2689.43740209,3070.61186642,4,2703,95
647,ENST00000381075,2569.991,11354.77004,2769,135.968971,3.1,23.86314707,1,14620,13446.6845676,14596.1368529,12,13470,95
617,ENST00000416206,1035.991,3862.866894,1235,114.748473,5.90909090909,1.723135761,1,4897,4611.66495177,4895.27686424,3,4613,94
703,ENST00000546087,2358.991,3143.237787,2558,41.005681,5.0,6.172813239,1,4161,3780.97252387,4154.82718676,4,3787,93
577,ENST00000204307,457.001,1991.779947,656,134.127369,6.0,1.369177874,1,2473,2381.61653208,2471.63082213,1,2382,91
524,ENST00000368261,1848.991,16522.01815,2048,274.992843,6.09090909091,9.131764295,1,20273,19542.6335862,20263.8682357,8,19551,90
856,ENST00000539074,515.0,2436.115676,714,145.573923,1.5,6.947904296,1,3233,2863.80226244,3226.0520957,4,2870,90
1019,ENST00000441738,142.014,1046.986321,341,226.884107,2.66666666667,3.860478399,1,1358,1176.64316264,1354.1395216,2,1180,89
930,ENST00000532702,545.999,12738.32202,745,717.981178,3.71428571429,145.375627,1,17521,14624.5938129,17375.624373,31,14769,88
571,ENST00000396858,1092.991,37838.61674,1292,1065.397845,3.33333333333,94.59916916,1,46549,44280.0139529,46454.4008308,25,44374,87
737,ENST00000466967,278.007,776.0,477,85.901089,3.16666666667,0.263756687,1,1036,949.016978281,1035.73624331,1,949,87
612,ENST00000394169,2030.991,2225.0,2230,33.714374,3.14285714286,2.620927934,1,2775,2687.07168342,2772.37907207,1,2689,86
865,ENST00000533166,935.991,5157.0,1135,169.558134,2.5,48.75439808,1,7041,6043.9339592,6992.24560192,11,6092,86
933,ENST00000589536,347.005,1195.24033,546,106.001544,8.0,5.825020033,1,1724,1463.50103149,1718.17497997,3,1469,85
884,ENST00000543390,1258.991,3056.76123,1458,74.719167,2.33333333333,17.52192949,1,4157,3635.13173214,4139.47807051,6,3652,84
863,ENST00000259523,1842.991,4658.200901,2042,77.78361,3.0,39.02964998,1,6283,5514.79624122,6243.97035002,9,5553,81
742,ENST00000600118,978.991,5242.185439,1178,164.788479,3.5,23.20408712,1,6758,6180.83276185,6734.79591288,7,6204,79
1225,ENST00000502762,1896.991,7076.977722,2096,114.808925,2.4,160.9729483,1,10777,8238.23743468,10616.0270517,30,8399,79
1759,ENST00000409265,2839.991,480.845414,3039,5.210526,4.77777777778,0.720959283,1,1031,639.477603466,1030.27904072,5,640,78
835,ENST00000440277,702.998,7324.242672,902,320.628083,4.36363636364,34.87507174,1,9599,8554.25837855,9564.12492826,13,8589,77
886,ENST00000398058,4138.991,4476.492827,4338,33.284073,6.5,10.32360372,1,6068,5362.66586558,6057.67639628,9,5372,77
723,ENST00000453303,716.998,15215.07695,916,653.05406,3.33333333333,53.85050261,1,19342,17696.7934733,19288.1494974,21,17750,75
773,ENST00000313104,712.998,107775.936,912,4651.857645,6.875,6476.675262,1,137778,118736.627605,131301.324738,167,125213,75
807,ENST00000598034,828.991,4935.886607,1028,183.235049,4.33333333333,52.79066842,1,6437,5782.66862613,6384.20933158,8,5835,75
893,ENST00000592634,1954.991,5519.291984,2154,86.882378,3.5,114.9342835,1,7481,6458.54639446,7366.0657165,12,6573,75
845,ENST00000301810,1340.991,2269.899586,1540,52.092345,3.66666666667,0.653908224,1,3041,2740.22368654,3040.34609178,4,2740,75
1171,ENST00000302182,1025.991,28570.51514,1225,856.974061,5.26086956522,3882.936122,1,40705,29588.4893648,36822.063878,96,33471,75
928,ENST00000527119,382.005,1779.776475,581,143.38038,3.4,1.299234787,1,2406,2105.72160456,2404.70076521,4,2107,74
940,ENST00000400519,2930.991,1468.0,3130,15.41362,3.2,13.59899824,1,2017,1781.058909,2003.40100176,3,1794,74
838,ENST00000594523,341.005,4713.585685,540,425.386062,3.8,16.17695252,1,6017,5403.90253668,6000.82304748,8,5420,74
580,ENST00000271850,1019.991,5516.379317,1219,166.437406,6.07142857143,3.785259686,1,6767,6543.54096165,6763.21474031,3,6547,73
943,ENST00000420007,855.991,6317.370949,1055,227.122607,3.0,44.0232704,1,8543,7395.90272902,8498.9767296,15,7439,73
593,ENST00000374515,436.002,6943.286768,635,490.082709,1.5,6.896338301,1,8372,8005.08817361,8365.1036617,5,8011,72
990,ENST00000356387,10569.991,6703.478293,10769,19.51725,3.84615384615,139.2836091,1,9269,7817.01591765,9129.7163909,18,7956,72
678,ENST00000474973,390.005,38565.48785,589,3043.141518,1.5,422.34487,1,47182,43567.4725682,46759.65513,44,43989,72
1153,ENST00000530019,351.005,20142.91454,550,1766.044718,4.16666666667,1291.893014,1,27716,21616.0507122,26424.106986,67,22907,71
1122,ENST00000591588,432.002,2597.241524,631,185.020281,4.0,11.4457445,1,3626,3044.82597272,3614.5542555,8,3056,71
1228,ENST00000331789,1717.991,639856.8846,1917,11461.85902,3.44444444444,529363.2215,1,804197,219166.334876,274833.7785,788,748529,70
896,ENST00000539492,380.005,722.0,579,58.471091,2.0,2.256402755,1,962,890.735734049,959.743597245,1,892,70
825,ENST00000409963,1687.991,1688.973184,1887,30.792555,2.0,4.65095999,1,2258,2044.31123899,2253.34904001,3,2048,70
728,ENST00000542276,155.013,4277.330885,354,849.175904,4.0,13.89221376,1,4990,4625.43267152,4976.10778624,5,4639,70
803,ENST00000547368,489.001,5381.771339,688,338.695011,6.46666666667,9.436442378,1,6914,6277.16154499,6904.56355762,9,6286,69
1010,ENST00000009530,781.998,63363.56564,981,2493.600878,3.0,10293.70936,1,84202,63428.6571995,73908.29064,153,73722,68
1034,ENST00000392339,1833.991,8512.444921,2033,142.840121,7.90476190476,37.87549286,1,11921,10091.1622095,11883.1245071,26,10129,68
487,ENST00000375218,3831.991,6346.0,4031,50.964602,3.0,4.839812361,1,7696,7555.92665882,7691.16018764,2,7560,68
1114,ENST00000590214,3991.991,5954.844385,4191,45.906472,4.1,22.07287084,1,8445,7083.55004817,8422.92712916,20,7105,67
1490,ENST00000219235,2729.991,188231.0,2929,2121.890666,1.0,152746.8644,1,245467,68286.8827811,92720.1356,360,221033,67
993,ENST00000492213,351.005,743.956123,550,65.226895,4.16666666667,3.155285946,1,1065,927.619141043,1061.84471405,2,930,67
1258,ENST00000458574,446.002,690.897287,645,47.672667,2.0,5.455335128,1,994,856.775859904,988.544664872,2,862,66
826,ENST00000425992,505.0,2699.305107,704,164.495288,2.5,7.553739487,1,3444,3171.44088462,3436.44626051,4,3178,66
888,ENST00000329559,329.007,3716.075097,528,347.594542,2.4,33.83934799,1,4739,4239.30582731,4705.16065201,7,4273,66
702,ENST00000422781,761.998,9302.824362,961,375.711047,3.125,49.71970121,1,11629,10846.6712204,11579.2802988,11,10896,66
871,ENST00000334482,584.998,2219.226644,784,116.74545,2.0,4.877227599,1,2898,2629.25056006,2893.1227724,4,2634,66
2122,ENST00000467736,329.007,8865.870216,528,829.296506,3.85714285714,2821.356379,1,15754,7255.67030443,12932.643621,85,10077,66
590,ENST00000498603,388.005,6903.385757,587,547.542893,1.5,7.048030226,1,8250,7921.93493325,8242.95196977,5,7928,64
891,ENST00000559540,1241.991,2188.405823,1441,54.225373,4.8,16.58534566,1,2910,2634.96933309,2893.41465434,4,2651,64
1081,ENST00000589174,292.007,580.0,491,61.126204,1.0,2.960990043,1,780,713.073383335,777.039009957,1,716,64
715,ENST00000366779,5323.991,3629.0,5523,20.976967,3.16666666667,13.6073749,1,4598,4326.28489093,4584.3926251,4,4339,64
912,ENST00000540444,7898.991,6570.982066,8098,25.600692,1.5,15.39562186,1,8746,7785.12267654,8730.60437814,15,7800,63
1052,ENST00000556418,3879.991,3510.0,4079,27.840014,1.5,75.98199815,1,4828,4117.11189404,4752.01800185,10,4193,63
1497,ENST00000389462,573.999,2422.0,773,129.854284,2.0,77.75845603,1,3738,2788.56913925,3660.24154397,14,2866,62
815,ENST00000492758,512.0,4637.0,711,278.714807,1.5,27.0800409,1,5905,5375.66781431,5877.9199591,8,5402,62
904,ENST00000402281,2560.991,2080.234337,2760,24.99754,3.41666666667,3.384850319,1,2769,2517.46436067,2765.61514968,4,2520,62
1352,ENST00000590618,91.027,1631.999305,290,551.751284,2.66666666667,30.46006279,1,2108,1642.08423871,2077.53993721,7,1672,62
1231,ENST00000429938,328.007,4843.655814,527,454.447553,1.5,149.5996392,1,6637,5389.10545644,6487.4003608,18,5538,61
796,ENST00000381184,718.998,3501.740166,918,149.88189,2.6,20.31882329,1,4443,4120.3212575,4422.68117671,5,4140,60
1148,ENST00000430101,374.005,1962.482619,573,161.48111,3.5,17.55379598,1,2673,2295.90384906,2655.44620402,6,2313,60
1501,ENST00000389378,3068.991,5342.838989,3268,53.575907,6.21739130435,175.9529975,1,8339,6218.90755001,8163.0470025,32,6394,60
1033,ENST00000409733,625.998,41354.15495,825,2033.007985,5.41666666667,7614.39375,1,53976,40283.5102384,46361.60625,100,47897,60
1027,ENST00000375695,2675.991,2797.824886,2875,32.17577,2.6,9.00821715,1,3842,3353.23480941,3832.99178285,8,3362,60
1099,ENST00000371739,2734.991,574.412767,2934,6.463403,1.5,4.320561358,1,848,723.351427831,843.679438642,2,727,60
718,ENST00000541364,1492.991,10010.12847,1692,206.336269,6.85,28.14790511,1,12636,11836.1414988,12607.8520949,13,11864,59
1118,ENST00000395066,2421.991,3689.365464,2621,46.87834,5.64516129032,67.15217604,1,5136,4368.94754327,5068.84782396,12,4436,58
1138,ENST00000467825,461.001,64261.85206,660,4289.875337,1.5,13854.53225,1,83986,59770.6025422,70131.46775,177,73625,58
788,ENST00000414183,1989.991,9637.476475,2189,149.040846,6.45161290323,9.867067476,1,12363,11440.7369271,12353.1329325,16,11450,57
944,ENST00000188376,1709.991,14285.672,1909,257.098741,5.55,239.5316655,1,18791,16660.91653,18551.4683345,33,16900,57
3466,ENST00000359141,3820.991,9.99177,4020,0.080475,4.14285714286,11.8107594,1,243,59.4984566896,231.1892406,3,71,57
1061,ENST00000569359,1215.991,3387.315161,1415,85.727149,3.375,67.96305115,1,4610,3978.06086992,4542.03694885,10,4046,56
1224,ENST00000529272,1111.991,12638.29877,1311,349.768337,11.9821428571,374.0033726,1,17709,14560.8909257,17334.9966274,49,14934,56
812,ENST00000562233,242.009,4449.315688,441,565.788364,3.3,31.81702423,1,5407,4983.35262499,5375.18297577,7,5015,56
712,ENST00000531258,1034.991,8113.410191,1234,241.245941,3.4,35.47744209,1,10134,9531.53545113,10098.5225579,10,9567,56
758,ENST00000469605,599.998,4788.912617,799,245.629093,2.0,33.40452655,1,5937,5573.44443102,5903.59547345,6,5606,55
